Q1,26.56,29.80,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,16.43,45.02,0.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,34.51,41.84,0.00,3K3,CPF0201D7K68C1_0201
R18,38.67,40.54,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,13.95,44.44,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,31.61,45.84,0.00,5K1,CPF0201D7K68C1_0201
R2,33.77,42.04,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,18.65,46.35,0.00,10K,CPF0201D7K68C1_0201
R2_USB,22.29,50.35,0.00,5K1,CPF0201D7K68C1_0201
R3,18.85,35.40,0.00,0,CPF0201D7K68C1_0201
R4,33.21,42.64,0.00,0,CPF0201D7K68C1_0201
R5,24.06,31.79,0.00,10K,CPF0201D7K68C1_0201
R7,30.29,31.49,0.00,10K,CPF0201D7K68C1_0201
R8,29.29,31.44,0.00,10K,CPF0201D7K68C1_0201
R9,31.01,41.04,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,34.99,37.14,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,17.89,46.84,0.00,2.2,CPF0201D7K68C1_0201
SJ1,14.16,48.23,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,35.83,24.59,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,24.80,24.59,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,13.94,24.59,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,19.72,22.87,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,42.17,36.35,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,6.38,51.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,5.71,26.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,23.74,27.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,18.13,26.75,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,30.81,26.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,32.49,52.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,16.08,37.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,32.39,31.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,36.06,32.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,29.74,29.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,26.89,27.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,33.55,45.87,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U$1,25.68,36.01,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,31.93,33.84,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,27.39,42.58,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,21.14,42.24,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
